id,company_name,activity,siren,siret,vat_number,address,city,zip_code,country,contact_email,contact_phone,contract_type,contract_start,contract_end,monthly_fee_eur
1,SysUni SNC,Finance,243070080,24307008021348,FR42243070080,23 rue de la République,Nantes,74130,France,contact@sysuni.fr,+33636772158,BASIC,2022-12-05,2025-12-04,13504.91
2,UniMulti SNC,Énergie,946447971,94644797159018,FR59946447971,146 rue Victor Hugo,Strasbourg,20874,France,contact@unimulti.fr,+33680963082,PREMIUM,2022-09-14,2023-09-14,4230.78
3,DigitalEuro GIE,Construction,389265203,38926520383131,FR10389265203,119 rue de la République,Montpellier,35962,France,contact@digitaleuro.fr,+33691270059,BASIC,2021-12-30,2022-12-30,5492.23
4,NovaCloud SNC,Télécommunications,867880497,86788049731077,FR66867880497,170 rue du Commerce,Strasbourg,14857,France,contact@novacloud.fr,+33624736089,PARTNER,2019-12-30,2022-12-29,23158.75
5,EuroOmega SAS,Conseil IT,778620616,77862061621274,FR28778620616,35 rue de la République,Marseille,63127,France,contact@euroomega.fr,+33636950169,ENTERPRISE,2021-02-19,2023-02-19,15626.08
6,SysGlobal SAS,Éducation,985980680,98598068026561,FR55985980680,184 rue de la République,Grenoble,29718,France,contact@sysglobal.fr,+33691609017,BASIC,2019-09-26,2022-09-25,23093.89
7,ConnectConnect SNC,Informatique,290745412,29074541263723,FR28290745412,60 rue Victor Hugo,Toulouse,25363,France,contact@connectconnect.fr,+33658546900,PREMIUM,2020-10-15,2022-10-15,22070.55
8,DigitalInter SARL,Éducation,462318017,46231801738353,FR58462318017,107 rue Victor Hugo,Rennes,80040,France,contact@digitalinter.fr,+33622437193,BASIC,2021-03-28,2023-03-28,8750.47
9,NetNova SARL,Hôtellerie,347185889,34718588950818,FR93347185889,177 rue Victor Hugo,Rouen,38652,France,contact@netnova.fr,+33643516928,PREMIUM,2020-09-28,2021-09-28,16507.41
10,GlobalDigital SNC,Distribution,375106124,37510612419132,FR74375106124,137 rue du Commerce,Saint-Étienne,43663,France,contact@globaldigital.fr,+33667837362,ENTERPRISE,2020-10-18,2022-10-18,22726.54
11,UniData SA,Finance,828373014,82837301489203,FR89828373014,89 rue de la Paix,Rennes,56568,France,contact@unidata.fr,+33649648088,BASIC,2020-11-20,2021-11-20,5264.56
12,DataWeb SARL,Hôtellerie,858340961,85834096140308,FR62858340961,129 rue de la République,Reims,36541,France,contact@dataweb.fr,+33610173471,ENTERPRISE,2019-01-08,2020-01-08,16585.63
13,DataInter EURL,Distribution,383367486,38336748664635,FR69383367486,196 rue de la République,Saint-Étienne,47683,France,contact@datainter.fr,+33636881744,PARTNER,2022-06-23,2025-06-22,13510.26
14,ConnectPro GIE,Télécommunications,162612324,16261232464627,FR48162612324,151 rue de la République,Marseille,48688,France,contact@connectpro.fr,+33636038760,ENTERPRISE,2022-07-06,2025-07-05,24284.86
15,AlphaAlpha SAS,Agriculture,453322056,45332205626838,FR26453322056,100 rue Nationale,Nantes,83647,France,contact@alphaalpha.fr,+33634002701,BASIC,2022-11-23,2025-11-22,21764.15
16,SysWeb SA,Distribution,851352532,85135253260155,FR33851352532,171 rue du Commerce,Saint-Étienne,19797,France,contact@sysweb.fr,+33681358675,BASIC,2022-07-05,2024-07-04,14533.54
17,InterTech SARL,Immobilier,630561457,63056145719456,FR52630561457,163 rue de la Paix,Bordeaux,86407,France,contact@intertech.fr,+33652826918,STANDARD,2021-12-27,2023-12-27,14455.64
18,DataCloud SNC,Distribution,526557720,52655772014737,FR16526557720,41 rue Nationale,Angers,17537,France,contact@datacloud.fr,+33666065057,ENTERPRISE,2022-02-11,2024-02-11,13027.74
19,SysConnect SARL,Construction,395806119,39580611996093,FR56395806119,45 rue Victor Hugo,Toulon,95537,France,contact@sysconnect.fr,+33681800106,STANDARD,2020-02-10,2023-02-09,14212.67
20,ConnectCloud SAS,Énergie,192887818,19288781814336,FR75192887818,156 rue de la République,Toulouse,31116,France,contact@connectcloud.fr,+33655646360,BASIC,2020-04-19,2023-04-19,4580.81
21,SmartOmega SAS,Hôtellerie,893333958,89333395824566,FR28893333958,4 rue du Commerce,Strasbourg,59392,France,contact@smartomega.fr,+33623014602,BASIC,2021-12-03,2024-12-02,16251.07
22,GlobalUni SARL,Santé,273337546,27333754631819,FR66273337546,150 rue Nationale,Marseille,12671,France,contact@globaluni.fr,+33650350901,ENTERPRISE,2022-04-21,2023-04-21,6698.55
23,TechPro SARL,Conseil IT,232719732,23271973274545,FR64232719732,175 rue Victor Hugo,Dijon,53848,France,contact@techpro.fr,+33699119340,STANDARD,2019-12-02,2022-12-01,1487.22
24,NetAlpha SA,Construction,688385148,68838514829758,FR98688385148,103 rue Nationale,Grenoble,77144,France,contact@netalpha.fr,+33640578741,STANDARD,2020-08-14,2023-08-14,19210.67
25,OmegaNet SARL,Transport,378965402,37896540231474,FR82378965402,52 rue du Commerce,Strasbourg,33559,France,contact@omeganet.fr,+33694457907,STANDARD,2022-03-04,2023-03-04,11150.43
26,WebData SA,Télécommunications,259822798,25982279810422,FR92259822798,43 rue de la République,Angers,40581,France,contact@webdata.fr,+33655810956,STANDARD,2021-07-02,2022-07-02,12822.96
27,EuroUni SNC,Conseil IT,271668483,27166848340490,FR83271668483,157 rue du Commerce,Marseille,32751,France,contact@eurouni.fr,+33628067560,BASIC,2019-07-25,2021-07-24,5605.76
28,InfoData SNC,Énergie,653863893,65386389398113,FR74653863893,59 rue Nationale,Grenoble,61829,France,contact@infodata.fr,+33680380142,PARTNER,2020-05-07,2023-05-07,2392.59
29,InfoWeb EURL,Informatique,458832776,45883277674971,FR34458832776,112 rue de la Paix,Montpellier,51312,France,contact@infoweb.fr,+33635450825,STANDARD,2019-03-02,2020-03-01,19939.81
30,ProData SAS,Éducation,821405781,82140578143412,FR11821405781,94 rue de la Paix,Grenoble,30879,France,contact@prodata.fr,+33656247270,PARTNER,2020-02-06,2023-02-05,13492.7
31,ProInter SNC,Conseil IT,159866618,15986661813567,FR55159866618,5 rue Victor Hugo,Grenoble,51677,France,contact@prointer.fr,+33660367393,PREMIUM,2019-06-10,2021-06-09,3957.84
